Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
5,Leeds United,38,18,12,8,53,37,16,66,1.74,"39,752",Robbie Fowler - 12,Nigel Martyn,21,25.9,,38,433,,,54,46,53,1,2,70,5,1.42,1.21,2.63,1.39,2.61,1,38,38,"3,420",,37,0.97,195,158,81,18,12,8,18,47.4,,,,,,21,,54,,267,,,7.03,,0.2,,1,2
20,Leicester City,38,5,13,20,30,64,-34,28,0.74,"19,835",Brian Deane - 7,Ian Walker,33,27.3,,38,415,,,29,21,27,2,4,74,3,0.76,0.55,1.32,0.71,1.26,2,38,38,"3,420",,64,1.68,242,178,73.6,5,13,20,7,18.4,,,,,,33,,29,,167,,,4.39,,0.16,,2,4
2,Liverpool,38,24,8,6,67,30,37,80,2.11,"43,389",Michael Owen - 19,Jerzy Dudek,27,25.5,,38,418,,,63,51,62,1,3,45,2,1.66,1.34,3,1.63,2.97,3,38,38,"3,330",,30,0.81,156,126,80.8,24,8,6,18,47.4,,,,,,27,,63,,262,,,6.89,,0.24,,1,3
3,Manchester Utd,38,24,5,9,87,45,42,77,2.03,"67,558",Ruud van Nistelrooy - 23,Fabien Barthez,28,27.5,,38,402,,,81,56,76,5,5,53,1,2.13,1.47,3.61,2,3.47,2,38,38,"3,440",,44,1.15,168,124,73.8,24,5,9,13,34.2,,,,,,28,,81,,289,,,7.61,,0.26,,5,5
12,Middlesbrough,38,12,9,17,35,47,-12,45,1.18,"28,459",Alen Bokšić - 8,Mark Schwarzer,34,28.1,,38,409,,,33,21,31,2,3,54,7,0.87,0.55,1.42,0.82,1.37,3,38,38,"3,399",,47,1.24,249,202,81.1,12,9,17,12,31.6,,,,,,34,,33,,142,,,3.74,,0.22,,2,3
4,Newcastle Utd,38,21,8,9,74,52,22,71,1.87,"51,373",Alan Shearer - 23,Shay Given,22,25.5,,38,390,,,72,53,67,5,7,48,2,1.89,1.39,3.29,1.76,3.16,1,38,38,"3,420",,52,1.37,225,173,76.9,21,8,9,9,23.7,,,,,,22,,72,,265,,,6.97,,0.25,,5,7
11,Southampton,38,12,9,17,46,54,-8,45,1.18,"30,633",Marians Pahars - 14,Paul Jones,29,27.5,,38,390,,,42,30,38,4,4,33,3,1.11,0.79,1.89,1,1.79,2,38,38,"3,420",,54,1.42,204,150,73.5,12,9,17,9,23.7,,,,,,29,,42,,168,,,4.42,,0.23,,4,4
17,Sunderland,38,10,10,18,29,51,-22,40,1.05,"46,744",Kevin Phillips - 11,Thomas Sørensen,25,26.6,,38,415,,,29,19,28,1,3,66,1,0.76,0.5,1.26,0.74,1.24,2,38,38,"3,420",,51,1.34,229,178,77.7,10,10,18,11,28.9,,,,,,25,,29,,190,,,5,,0.15,,1,3
9,Tottenham,38,14,8,16,49,53,-4,50,1.32,"35,001","Gus Poyet, Teddy Sheringham - 10",Neil Sullivan,24,28.9,,38,411,,,48,33,45,3,3,59,4,1.26,0.87,2.13,1.18,2.05,2,38,38,"3,420",,53,1.39,199,146,73.4,14,8,16,8,21.1,,,,,,24,,48,,212,,,5.58,,0.21,,3,3
7,West Ham,38,15,8,15,48,57,-9,53,1.39,"31,570",Frédéric Kanouté - 11,David James,28,27.4,,38,419,,,48,34,44,4,5,67,3,1.26,0.89,2.16,1.16,2.05,2,38,38,"3,420",,57,1.5,215,158,73.5,15,8,15,13,34.2,,,,,,28,,48,,210,,,5.53,,0.21,,4,5
